Category,Item,Priority,Phase,Status,Owner,Notes
,,,,,,
STUDENT PROFILE,,,,,,
Student Profile,Student can log in easily,Must-Have,Phase 1,Not Started,Visha,Authentication must work on school laptops
Student Profile,Student can complete their profile (interests / skills / goals),Must-Have,Phase 1,Not Started,Visha,
Student Profile,Engagement history tracked in profile,Must-Have,Phase 1,Not Started,Visha,
Student Profile,Document upload: transcript,Must-Have,Phase 1,Not Started,Visha,PII lives in Salesforce not platform
Student Profile,Document upload: resume,Must-Have,Phase 1,Not Started,Visha,PII lives in Salesforce not platform
Student Profile,Document upload: cover letter,Must-Have,Phase 1,Not Started,Visha,PII lives in Salesforce not platform
Student Profile,Allow profile updates,Must-Have,Phase 1,Not Started,Visha,
Student Profile,Verification prompts on profile,Must-Have,Phase 1,Not Started,Visha,
,,,,,,
ENGAGEMENT & ACCOUNTABILITY,,,,,,
Engagement & Accountability,One-stop shop for all tasks / events / milestones,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Track required vs optional events,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Milestone attendance tracking,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Event attendance tracking,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Flag no-shows and late cancellations,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Show student status: on-track / at-risk / disengaged,Must-Have,Phase 1,Not Started,Visha,
Engagement & Accountability,Mobile-friendly version,Must-Have,Phase 1,Not Started,Visha,
,,,,,,
SOCIAL CAPITAL TRACKING,,,,,,
Social Capital Tracking,Log connections (who / where met / last contact),Must-Have,Phase 1,Not Started,Visha,Juniors & seniors
Social Capital Tracking,Track interaction frequency,Must-Have,Phase 1,Not Started,Visha,
Social Capital Tracking,Prompt follow-ups for connections,Must-Have,Phase 1,Not Started,Visha,
,,,,,,
EXPERIENCES & OPPORTUNITIES,,,,,,
Experiences & Opportunities,Database of internships,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Database of experiential learning projects,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Resource Center: campus events and organizations,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Resource Center: local/national events and organizations,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Resource Center: professional resources,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Resource Center: HighView library,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Track participation and completion of experiences,Must-Have,Phase 1,Not Started,Visha,
Experiences & Opportunities,Mentor matching,Nice-to-Have,Phase 2,Not Started,,Easy matching — advanced algorithm in Phase 2
,,,,,,
AI COACHING & SCENARIOS,,,,,,
AI Coaching & Scenarios,AI Scenario: Workplace conflict simulation,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,AI Scenario: Job interview simulation,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,AI Scenario: Zero inbox sprint,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,AI Scenario: Email writing simulation,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,Lightweight AI: resume feedback,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,Lightweight AI: networking message generation,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,Lightweight AI: reflection prompts,Must-Have,Phase 1,Not Started,Visha,
AI Coaching & Scenarios,Advanced AI features,Nice-to-Have,Phase 2,Not Started,,
,,,,,,
ADMIN & STAFF TOOLS,,,,,,
Admin & Staff Tools,Staff dashboard: see who is excelling,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Staff dashboard: see who is falling behind / at-risk,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Cohort management,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Student notes and advising history,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Low-maintenance student information management,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Staff can log event attendance,Must-Have,Phase 1,Not Started,Visha,
Admin & Staff Tools,Auto-text/email follow-up to students,Nice-to-Have,Phase 2,Not Started,,Transitioning away from Remind
,,,,,,
DATA & INTEGRATIONS,,,,,,
Data & Integrations,Salesforce integration (primary CRM),Must-Have,Phase 1,Not Started,Visha,PII lives in Salesforce — avoid duplication
Data & Integrations,Capture student contact and academic info,Must-Have,Phase 1,Not Started,Visha,
Data & Integrations,Capture engagement data,Must-Have,Phase 1,Not Started,Visha,
Data & Integrations,Capture relationship / network data,Must-Have,Phase 1,Not Started,Visha,
Data & Integrations,Capture outcomes: internships and jobs,Must-Have,Phase 1,Not Started,Visha,
Data & Integrations,Email/calendar tool integration,Must-Have,Phase 1,Not Started,Visha,
Data & Integrations,Deep integrations,Nice-to-Have,Phase 2,Not Started,,
,,,,,,
METRICS & REPORTING,,,,,,
Metrics & Reporting,Student engagement score,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Student milestone completion report,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Student event attendance report,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Student network growth tracking,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Program-level attendance rates,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Program-level experience participation,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Program-level outcomes achieved,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Partner/staff reporting: student participation metrics,Must-Have,Phase 1,Not Started,Visha,
Metrics & Reporting,Partner/staff reporting: ROI and engagement metrics,Must-Have,Phase 1,Not Started,Visha,
,,,,,,
AUTHENTICATION & SECURITY,,,,,,
Authentication & Security,Student authentication works on school laptops,Must-Have,Phase 1,Not Started,Visha,Root cause of previous system failure — top priority
Authentication & Security,PII stays in Salesforce (not stored on platform),Must-Have,Phase 1,Not Started,Visha,
,,,,,,
PHASE 2 / NICE-TO-HAVES,,,,,,
Phase 2,Mentor and professional self-serve profile creation,Nice-to-Have,Phase 2,Not Started,,
Phase 2,Student engagement gamification,Nice-to-Have,Phase 2,Not Started,,
Phase 2,Milestone celebration features,Nice-to-Have,Phase 2,Not Started,,
Phase 2,Complex matching algorithms,Nice-to-Have,Phase 2,Not Started,,
Phase 2,Communications transition away from Remind,Nice-to-Have,Phase 2,Not Started,,
Phase 2,Long-term maintenance plan documented,Nice-to-Have,Phase 2,Not Started,,
,,,,,,
TIMELINE & OWNERSHIP,,,,,,
Timeline & Ownership,Spec draft complete,Must-Have,Phase 1,Not Started,Leslie / Tarang / Visha,Target: April 8
Timeline & Ownership,Design complete,Must-Have,Phase 1,Not Started,Visha,Target: April 8
Timeline & Ownership,Build start,Must-Have,Phase 1,Not Started,Visha,Target: April 8
Timeline & Ownership,Finalize MVP,Must-Have,Phase 1,Not Started,Visha,
Timeline & Ownership,V1 launch — Tarang deadline,Must-Have,Phase 1,Not Started,Tarang,June 2
Timeline & Ownership,V1 launch — public unveiling,Must-Have,Phase 1,Not Started,Leslie,June 16
Timeline & Ownership,V2 launch,Nice-to-Have,Phase 2,Not Started,Leslie / Tarang / Visha,September/October (tentative)
Timeline & Ownership,Consult with Alexis,Must-Have,Phase 1,Not Started,Leslie,
Timeline & Ownership,Consult with Nicole,Must-Have,Phase 1,Not Started,Leslie,
Timeline & Ownership,Consult with Alison,Must-Have,Phase 1,Not Started,Leslie,
